feature,type,mutable,min,max
loan_amnt,real,TRUE,1000,40000
term,int,TRUE,36,60
int_rate,real,FALSE,5.31,30.99
installment,real,TRUE,4.93,1719.83
grade,int,FALSE,1,7
emp_length,real,TRUE,0,10
annual_inc,real,TRUE,33,10999200
issue_d,int,FALSE,201203,201812
dti,real,TRUE,-1,999
earliest_cr_line,int,FALSE,193404,201510
open_acc,real,TRUE,1,90
pub_rec,real,FALSE,0,86
revol_bal,real,TRUE,0,2904836
revol_util,real,TRUE,0,892.3
total_acc,real,TRUE,2,176
mort_acc,real,TRUE,0,51
pub_rec_bankruptcies,real,FALSE,0,12
fico_score,real,FALSE,662,847.5
initial_list_status_w,int,FALSE,0,1
application_type_Joint App,int,TRUE,0,1
ratio_loan_amnt_annual_inc,real,TRUE,0.000171429,310.6060606
ratio_open_acc_total_acc,real,TRUE,0.024390244,1
diff_issue_d_earliest_cr_line,real,FALSE,36,999
ratio_pub_rec_diff_issue_d_earliest_cr_line,real,FALSE,0,0.495934959
ratio_pub_rec_bankruptcies_diff_issue_d_earliest_cr_line,real,FALSE,0,0.090909091
ratio_pub_rec_bankruptcies_pub_rec,real,FALSE,-1,1
home_ownership_MORTGAGE,ohe0,FALSE,0,1
home_ownership_OTHER,ohe0,FALSE,0,1
home_ownership_OWN,ohe0,FALSE,0,1
home_ownership_RENT,ohe0,FALSE,0,1
verification_status_Not Verified,ohe1,FALSE,0,1
verification_status_Source Verified,ohe1,FALSE,0,1
verification_status_Verified,ohe1,FALSE,0,1
purpose_car,ohe2,TRUE,0,1
purpose_credit_card,ohe2,TRUE,0,1
purpose_debt_consolidation,ohe2,TRUE,0,1
purpose_educational,ohe2,TRUE,0,1
purpose_home_improvement,ohe2,TRUE,0,1
purpose_house,ohe2,TRUE,0,1
purpose_major_purchase,ohe2,TRUE,0,1
purpose_medical,ohe2,TRUE,0,1
purpose_moving,ohe2,TRUE,0,1
purpose_other,ohe2,TRUE,0,1
purpose_renewable_energy,ohe2,TRUE,0,1
purpose_small_business,ohe2,TRUE,0,1
purpose_vacation,ohe2,TRUE,0,1
purpose_wedding,ohe2,TRUE,0,1
